id,initial_charge,output_targets,neuron_type,rules
0,0,"[4374, -5050, -5726, 6402, -7078, 7754]",0,"[0,1,1,1,0]"
1,0,"[4375, -4374, -5051, 5050, -5727, -5726, 6403, 6402, -7079, 7078, 7755, -7754]",0,"[0,1,1,1,0]"
2,0,"[4376, -4375, -5052, 5051, -5728, -5727, 6404, 6403, -7080, 7079, 7756, -7755]",0,"[0,1,1,1,0]"
3,0,"[4377, -4376, -5053, 5052, -5729, -5728, 6405, 6404, -7081, 7080, 7757, -7756]",0,"[0,1,1,1,0]"
4,0,"[4378, -4377, -5054, 5053, -5730, -5729, 6406, 6405, -7082, 7081, 7758, -7757]",0,"[0,1,1,1,0]"
5,0,"[4379, -4378, -5055, 5054, -5731, -5730, 6407, 6406, -7083, 7082, 7759, -7758]",0,"[0,1,1,1,0]"
6,0,"[4380, -4379, -5056, 5055, -5732, -5731, 6408, 6407, -7084, 7083, 7760, -7759]",0,"[0,1,1,1,0]"
7,0,"[4381, -4380, -5057, 5056, -5733, -5732, 6409, 6408, -7085, 7084, 7761, -7760]",0,"[0,1,1,1,0]"
8,0,"[4382, -4381, -5058, 5057, -5734, -5733, 6410, 6409, -7086, 7085, 7762, -7761]",0,"[0,1,1,1,0]"
9,0,"[4383, -4382, -5059, 5058, -5735, -5734, 6411, 6410, -7087, 7086, 7763, -7762]",0,"[0,1,1,1,0]"
10,0,"[4384, -4383, -5060, 5059, -5736, -5735, 6412, 6411, -7088, 7087, 7764, -7763]",0,"[0,1,1,1,0]"
11,0,"[4385, -4384, -5061, 5060, -5737, -5736, 6413, 6412, -7089, 7088, 7765, -7764]",0,"[0,1,1,1,0]"
12,0,"[4386, -4385, -5062, 5061, -5738, -5737, 6414, 6413, -7090, 7089, 7766, -7765]",0,"[0,1,1,1,0]"
13,0,"[4387, -4386, -5063, 5062, -5739, -5738, 6415, 6414, -7091, 7090, 7767, -7766]",0,"[0,1,1,1,0]"
14,0,"[4388, -4387, -5064, 5063, -5740, -5739, 6416, 6415, -7092, 7091, 7768, -7767]",0,"[0,1,1,1,0]"
15,0,"[4389, -4388, -5065, 5064, -5741, -5740, 6417, 6416, -7093, 7092, 7769, -7768]",0,"[0,1,1,1,0]"
16,0,"[4390, -4389, -5066, 5065, -5742, -5741, 6418, 6417, -7094, 7093, 7770, -7769]",0,"[0,1,1,1,0]"
17,0,"[4391, -4390, -5067, 5066, -5743, -5742, 6419, 6418, -7095, 7094, 7771, -7770]",0,"[0,1,1,1,0]"
18,0,"[4392, -4391, -5068, 5067, -5744, -5743, 6420, 6419, -7096, 7095, 7772, -7771]",0,"[0,1,1,1,0]"
19,0,"[4393, -4392, -5069, 5068, -5745, -5744, 6421, 6420, -7097, 7096, 7773, -7772]",0,"[0,1,1,1,0]"
20,0,"[4394, -4393, -5070, 5069, -5746, -5745, 6422, 6421, -7098, 7097, 7774, -7773]",0,"[0,1,1,1,0]"
21,0,"[4395, -4394, -5071, 5070, -5747, -5746, 6423, 6422, -7099, 7098, 7775, -7774]",0,"[0,1,1,1,0]"
22,0,"[4396, -4395, -5072, 5071, -5748, -5747, 6424, 6423, -7100, 7099, 7776, -7775]",0,"[0,1,1,1,0]"
23,0,"[4397, -4396, -5073, 5072, -5749, -5748, 6425, 6424, -7101, 7100, 7777, -7776]",0,"[0,1,1,1,0]"
24,0,"[4398, -4397, -5074, 5073, -5750, -5749, 6426, 6425, -7102, 7101, 7778, -7777]",0,"[0,1,1,1,0]"
25,0,"[4399, -4398, -5075, 5074, -5751, -5750, 6427, 6426, -7103, 7102, 7779, -7778]",0,"[0,1,1,1,0]"
26,0,"[-4399, 5075, -5751, 6427, 7103, -7779]",0,"[0,1,1,1,0]"
27,0,"[4400, 4374, -5076, -5050, -5752, 5726, 6428, -6402, -7104, 7078, 7780, -7754]",0,"[0,1,1,1,0]"
28,0,"[4401, -4400, 4375, -4374, -5077, 5076, -5051, 5050, -5753, -5752, 5727, 5726, 6429, 6428, -6403, -6402, -7105, 7104, 7079, -7078, 7781, -7780, -7755, 7754]",0,"[0,1,1,1,0]"
29,0,"[4402, -4401, 4376, -4375, -5078, 5077, -5052, 5051, -5754, -5753, 5728, 5727, 6430, 6429, -6404, -6403, -7106, 7105, 7080, -7079, 7782, -7781, -7756, 7755]",0,"[0,1,1,1,0]"
30,0,"[4403, -4402, 4377, -4376, -5079, 5078, -5053, 5052, -5755, -5754, 5729, 5728, 6431, 6430, -6405, -6404, -7107, 7106, 7081, -7080, 7783, -7782, -7757, 7756]",0,"[0,1,1,1,0]"
31,0,"[4404, -4403, 4378, -4377, -5080, 5079, -5054, 5053, -5756, -5755, 5730, 5729, 6432, 6431, -6406, -6405, -7108, 7107, 7082, -7081, 7784, -7783, -7758, 7757]",0,"[0,1,1,1,0]"
32,0,"[4405, -4404, 4379, -4378, -5081, 5080, -5055, 5054, -5757, -5756, 5731, 5730, 6433, 6432, -6407, -6406, -7109, 7108, 7083, -7082, 7785, -7784, -7759, 7758]",0,"[0,1,1,1,0]"
