id,initial_charge,output_targets,neuron_type,rules
0,0,[],0,"[0,1,1,1,0]"
1,0,[-1568],0,"[0,1,1,1,0]"
2,0,[-1569],0,"[0,1,1,1,0]"
3,0,[-1570],0,"[0,1,1,1,0]"
4,0,[-1571],0,"[0,1,1,1,0]"
5,0,[-1572],0,"[0,1,1,1,0]"
6,0,[-1573],0,"[0,1,1,1,0]"
7,0,[-1574],0,"[0,1,1,1,0]"
8,0,[-1575],0,"[0,1,1,1,0]"
9,0,[-1576],0,"[0,1,1,1,0]"
10,0,[-1577],0,"[0,1,1,1,0]"
11,0,[-1578],0,"[0,1,1,1,0]"
12,0,[-1579],0,"[0,1,1,1,0]"
13,0,[-1580],0,"[0,1,1,1,0]"
14,0,[-1581],0,"[0,1,1,1,0]"
15,0,[-1582],0,"[0,1,1,1,0]"
16,0,[-1583],0,"[0,1,1,1,0]"
17,0,[-1584],0,"[0,1,1,1,0]"
18,0,[-1585],0,"[0,1,1,1,0]"
19,0,[-1586],0,"[0,1,1,1,0]"
20,0,[-1587],0,"[0,1,1,1,0]"
21,0,[-1588],0,"[0,1,1,1,0]"
22,0,[-1589],0,"[0,1,1,1,0]"
23,0,[-1590],0,"[0,1,1,1,0]"
24,0,[-1591],0,"[0,1,1,1,0]"
25,0,[-1592],0,"[0,1,1,1,0]"
26,0,[-1593],0,"[0,1,1,1,0]"
27,0,[],0,"[0,1,1,1,0]"
28,0,[-1568],0,"[0,1,1,1,0]"
29,0,"[-1594, -1569, 813]",0,"[0,1,1,1,0]"
30,0,"[-1595, -1570, -1568, 814]",0,"[0,1,1,1,0]"
31,0,"[-1596, -1571, -1569, 815]",0,"[0,1,1,1,0]"
32,0,"[-1597, -1572, -1570, 816]",0,"[0,1,1,1,0]"
33,0,"[-1598, -1573, -1571, 817]",0,"[0,1,1,1,0]"
34,0,"[-1599, -1574, -1572, 818]",0,"[0,1,1,1,0]"
35,0,"[-1600, -1575, -1573, 819]",0,"[0,1,1,1,0]"
36,0,"[-1601, -1576, -1574, 820]",0,"[0,1,1,1,0]"
37,0,"[-1602, -1577, -1575, 821]",0,"[0,1,1,1,0]"
