id,initial_charge,output_targets,neuron_type,rules
0,0,[],0,"[0,1,1,1,1]"
1,0,[1569],0,"[0,1,1,1,1]"
2,0,[1570],0,"[0,1,1,1,1]"
3,0,[1571],0,"[0,1,1,1,1]"
4,0,[1572],0,"[0,1,1,1,1]"
5,0,[1573],0,"[0,1,1,1,1]"
6,0,[1574],0,"[0,1,1,1,1]"
7,0,[1575],0,"[0,1,1,1,1]"
8,0,[1576],0,"[0,1,1,1,1]"
9,0,[1577],0,"[0,1,1,1,1]"
10,0,[1578],0,"[0,1,1,1,1]"
11,0,[1579],0,"[0,1,1,1,1]"
12,0,[1580],0,"[0,1,1,1,1]"
13,0,[1581],0,"[0,1,1,1,1]"
14,0,[1582],0,"[0,1,1,1,1]"
15,0,[1583],0,"[0,1,1,1,1]"
16,0,[1584],0,"[0,1,1,1,1]"
17,0,[1585],0,"[0,1,1,1,1]"
18,0,[1586],0,"[0,1,1,1,1]"
19,0,[1587],0,"[0,1,1,1,1]"
20,0,[1588],0,"[0,1,1,1,1]"
21,0,[1589],0,"[0,1,1,1,1]"
22,0,[1590],0,"[0,1,1,1,1]"
23,0,[1591],0,"[0,1,1,1,1]"
24,0,[1592],0,"[0,1,1,1,1]"
25,0,[1593],0,"[0,1,1,1,1]"
26,0,[1594],0,"[0,1,1,1,1]"
27,0,[],0,"[0,1,1,1,1]"
28,0,[1596],0,"[0,1,1,1,1]"
29,0,"[813, 1597]",0,"[0,1,1,1,1]"
30,0,"[814, 1598]",0,"[0,1,1,1,1]"
31,0,"[815, 1599]",0,"[0,1,1,1,1]"
32,0,"[816, 1600]",0,"[0,1,1,1,1]"
33,0,"[817, 1601]",0,"[0,1,1,1,1]"
34,0,"[818, 1602]",0,"[0,1,1,1,1]"
35,0,"[819, 1603]",0,"[0,1,1,1,1]"
36,0,"[820, 1604]",0,"[0,1,1,1,1]"
37,0,"[821, 1605]",0,"[0,1,1,1,1]"
38,0,"[822, 1606]",0,"[0,1,1,1,1]"
39,0,"[823, 1607]",0,"[0,1,1,1,1]"
40,0,"[824, 1608]",0,"[0,1,1,1,1]"
41,0,"[825, 1609]",0,"[0,1,1,1,1]"
42,0,"[826, 1610]",0,"[0,1,1,1,1]"
43,0,"[827, 1611]",0,"[0,1,1,1,1]"
44,0,"[828, 1612]",0,"[0,1,1,1,1]"
45,0,"[829, 1613]",0,"[0,1,1,1,1]"
46,0,"[830, 1614]",0,"[0,1,1,1,1]"
47,0,"[831, 1615]",0,"[0,1,1,1,1]"
48,0,"[832, 1616]",0,"[0,1,1,1,1]"
49,0,"[833, 1617]",0,"[0,1,1,1,1]"
50,0,"[834, 1618]",0,"[0,1,1,1,1]"
51,0,"[835, 1619]",0,"[0,1,1,1,1]"
52,0,"[836, 1620]",0,"[0,1,1,1,1]"
53,0,"[837, 1621]",0,"[0,1,1,1,1]"
54,0,"[838, 1622]",0,"[0,1,1,1,1]"
55,0,[1623],0,"[0,1,1,1,1]"
56,0,[1624],0,"[0,1,1,1,1]"
57,0,"[841, 1625]",0,"[0,1,1,1,1]"
58,0,"[842, 1626]",0,"[0,1,1,1,1]"
59,0,"[843, 1627]",0,"[0,1,1,1,1]"
60,0,"[844, 1628]",0,"[0,1,1,1,1]"
61,0,"[845, 1629]",0,"[0,1,1,1,1]"
62,0,"[846, 1630]",0,"[0,1,1,1,1]"
63,0,"[847, 1631]",0,"[0,1,1,1,1]"
64,0,"[848, 1632]",0,"[0,1,1,1,1]"
65,0,"[849, 1633]",0,"[0,1,1,1,1]"
66,0,"[850, 1634]",0,"[0,1,1,1,1]"
67,0,"[851, 1635]",0,"[0,1,1,1,1]"
68,0,"[852, 1636]",0,"[0,1,1,1,1]"
69,0,"[853, 1637]",0,"[0,1,1,1,1]"
70,0,"[854, 1638]",0,"[0,1,1,1,1]"
71,0,"[855, 1639]",0,"[0,1,1,1,1]"
72,0,"[856, 1640]",0,"[0,1,1,1,1]"
73,0,"[857, 1641]",0,"[0,1,1,1,1]"
74,0,"[858, 1642]",0,"[0,1,1,1,1]"
75,0,"[859, 1643]",0,"[0,1,1,1,1]"
76,0,"[860, 1644]",0,"[0,1,1,1,1]"
77,0,"[861, 1645]",0,"[0,1,1,1,1]"
78,0,"[862, 1646]",0,"[0,1,1,1,1]"
79,0,"[863, 1647]",0,"[0,1,1,1,1]"
80,0,"[864, 1648]",0,"[0,1,1,1,1]"
81,0,"[865, 1649]",0,"[0,1,1,1,1]"
82,0,"[866, 1650]",0,"[0,1,1,1,1]"
83,0,[1651],0,"[0,1,1,1,1]"
84,0,[1652],0,"[0,1,1,1,1]"
85,0,"[869, 1653]",0,"[0,1,1,1,1]"
86,0,"[870, 1654]",0,"[0,1,1,1,1]"
87,0,"[871, 1655]",0,"[0,1,1,1,1]"
88,0,"[872, 1656]",0,"[0,1,1,1,1]"
89,0,"[873, 1657]",0,"[0,1,1,1,1]"
90,0,"[874, 1658]",0,"[0,1,1,1,1]"
91,0,"[875, 1659]",0,"[0,1,1,1,1]"
92,0,"[876, 1660]",0,"[0,1,1,1,1]"
93,0,"[877, 1661]",0,"[0,1,1,1,1]"
94,0,"[878, 1662]",0,"[0,1,1,1,1]"
95,0,"[879, 1663]",0,"[0,1,1,1,1]"
96,0,"[880, 1664]",0,"[0,1,1,1,1]"
97,0,"[881, 1665]",0,"[0,1,1,1,1]"
98,0,"[882, 1666]",0,"[0,1,1,1,1]"
99,0,"[883, 1667]",0,"[0,1,1,1,1]"
100,0,"[884, 1668]",0,"[0,1,1,1,1]"
101,0,"[885, 1669]",0,"[0,1,1,1,1]"
102,0,"[886, 1670]",0,"[0,1,1,1,1]"
103,0,"[887, 1671]",0,"[0,1,1,1,1]"
104,0,"[888, 1672]",0,"[0,1,1,1,1]"
105,0,"[889, 1673]",0,"[0,1,1,1,1]"
106,0,"[890, 1674]",0,"[0,1,1,1,1]"
107,0,"[891, 1675]",0,"[0,1,1,1,1]"
108,0,"[892, 1676]",0,"[0,1,1,1,1]"
109,0,"[893, 1677]",0,"[0,1,1,1,1]"
110,0,"[894, 1678]",0,"[0,1,1,1,1]"
111,0,[1679],0,"[0,1,1,1,1]"
112,0,[1680],0,"[0,1,1,1,1]"
113,0,"[897, 1681]",0,"[0,1,1,1,1]"
114,0,"[898, 1682]",0,"[0,1,1,1,1]"
115,0,"[899, 1683]",0,"[0,1,1,1,1]"
116,0,"[900, 1684]",0,"[0,1,1,1,1]"
117,0,"[901, 1685]",0,"[0,1,1,1,1]"
118,0,"[902, 1686]",0,"[0,1,1,1,1]"
119,0,"[903, 1687]",0,"[0,1,1,1,1]"
120,0,"[904, 1688]",0,"[0,1,1,1,1]"
121,0,"[905, 1689]",0,"[0,1,1,1,1]"
122,0,"[906, 1690]",0,"[0,1,1,1,1]"
123,0,"[907, 1691]",0,"[0,1,1,1,1]"
124,0,"[908, 1692]",0,"[0,1,1,1,1]"
125,0,"[909, 1693]",0,"[0,1,1,1,1]"
126,0,"[910, 1694]",0,"[0,1,1,1,1]"
127,0,"[911, 1695]",0,"[0,1,1,1,1]"
128,0,"[912, 1696]",0,"[0,1,1,1,1]"
129,0,"[913, 1697]",0,"[0,1,1,1,1]"
130,0,"[914, 1698]",0,"[0,1,1,1,1]"
131,0,"[915, 1699]",0,"[0,1,1,1,1]"
