timestamp,params,metrics
2026-03-09 12:30:18,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.898, ""LR accuracy"": 0.908, ""time"": 43.2993597984314}"
2026-03-09 12:31:01,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 3, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.898, ""LR accuracy"": 0.912, ""time"": 43.365503549575806}"
2026-03-09 12:31:45,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 4, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.904, ""LR accuracy"": 0.914, ""time"": 43.45023536682129}"
2026-03-09 12:32:30,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 5, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.898, ""LR accuracy"": 0.91, ""time"": 44.981996059417725}"
2026-03-09 12:33:13,"{""train size"": 1000, ""test size"": 500, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 6, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.896, ""LR accuracy"": 0.91, ""time"": 43.37653207778931}"
2026-03-09 12:35:39,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 2, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.889, ""LR accuracy"": 0.911, ""time"": 84.02933859825134}"
2026-03-09 12:37:05,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 3, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.903, ""LR accuracy"": 0.918, ""time"": 85.9600350856781}"
2026-03-09 12:38:28,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 4, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.909, ""LR accuracy"": 0.922, ""time"": 82.8586413860321}"
2026-03-09 12:39:54,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 5, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.9, ""LR accuracy"": 0.921, ""time"": 86.14620471000671}"
2026-03-09 12:41:20,"{""train size"": 2000, ""test size"": 1000, ""q range"": 5, ""svm c"": 1.0, ""quantize method"": 3, ""alpha method"": 2, ""discretize method"": 2, ""discretization range"": 6, ""matrix sparsity"": 0.5, ""matrix positive"": 0.25, ""matrix threshold"": 0.5, ""database"": ""digit"", ""kernel number"": 8}","{""SVM accuracy"": 0.906, ""LR accuracy"": 0.915, ""time"": 85.73524451255798}"
